Pytanie,Odpowiedź,link do testu w B2,rodzaj zagadki,Zaskakujące odpowiedzi Bielika,Prawidłowe,Odpowiedź: speakleash/Bielik-7B-Instruct-v0.1,Ocena
Czy można ugryźć się samemu w pośladek? ,"Nie, nie jest to możliwe.",,,,T,"  Tak, można ugryźć się samemu w pośladek. Chociaż nie jest to zalecane i może wymagać pewnej gimnastyki, aby osiągnąć to w praktyce. Zazwyczaj wymaga to użycia ust lub języka, aby ugryźć się w pośladek, co może być trudne do wykonania samodzielnie. Wymaga to również pewnej elastyczności i siły w jamie ustnej. Warto jednak pamiętać, że taka praktyka może wiązać się z pewnym ryzykiem uszkodzenia skóry lub bólu.",0
Jak nazywa się odcinek łączący dwa wierzchołki kuli?,"Kula nie posiada wierzchołków, ponieważ jest figurą geometryczną, która jest gładka i nie ma żadnych ostrych kątów ani punktów końcowych.",https://discord.com/channels/1043112910278381619/1258025747163906111/1261473706975297566,sprzeczność z uwagi na definicję pojęcia  ,,T,  Odcinek łączący dwa wierzchołki kuli nazywa się średnicą.,0
Co jest cięższe: kilogram piór czy kilogram ołowiu?,Ważą tyle samo - po jednym kilogramie.,,,,T,  Kilogram piór jest lżejszy od kilograma ołowiu.,0
"Jeśli masz tylko jedną zapałkę i wchodzisz do ciemnego pokoju, w którym znajduje się lampa naftowa, świeca i kominek, co zapalisz najpierw?",Najpierw trzeba zapalić zapałkę.,,,,T,"  Odpowiedź brzmi: kominek.

Choć może się to wydawać zaskakujące, logiczne myślenie podpowiada, że najlepiej jest zapalić kominek. Gdy zapalisz kominek, będziesz mógł użyć płonących polan drewna do rozpalenia świecy, a płomień świecy będzie oświetlał zapałkę, umożliwiając bezpieczne zapalenie lampy naftowej.",0
Bierzesz udział w wyścigu. Wyprzedzasz osobę na drugim miejscu. Które miejsce zajmujesz teraz w wyścigu?,"drugie, wyprzedziłeś osobę na drugim miejscu więc nadal musisz wyprzedzić osobę na pierwszym by wygrać wyścig",https://discord.com/channels/1043112910278381619/1258025747163906111/1261576891077234758,,,T,  Zajmujesz drugie miejsce.,4
"Jeśli na stole jest 20 kanapek, a zabierzesz 3, to ile masz kanapek?","Zabrałeś trzy kanapki, więc masz trzy kanapki.",,,,T,"  Jeśli zabierzesz 3 kanapki z 20, które były na stole, to będziesz miał 20 - 3 = 17 kanapek.",0
Mama Kuby ma czterech synów. 1. Adam 2. Stefan 3. Jan. Jak ma na imię czwarty syn?,"Kuba - wynika to z samego początku zagadki, wyrażenia ""mama Kuby"".",,,,T,  Czwarty syn to Kuby.,5
"Początkowo prowadzisz sam autobus, w którym nie znajdują się pasażerowie. Na pierwszym przystanku wsiada 10 osób. Na drugim przystanku wsiada 7 osób i wysiada 5. Na trzecim przystanku wsiada 5 osób i wysiada 7. Ile osób jest w autobusie?",W autobusie jest 11 osób - 10 pasażerów i 1 kierowca.,,,,T,"  Początkowo w autobusie nie ma pasażerów, więc liczba pasażerów jest równa 0. Na pierwszym przystanku wsiada 10 osób, więc teraz jest 10 pasażerów w autobusie. Na drugim przystanku wsiada 7 osób i wysiada 5, więc teraz jest 10 + 7 - 5 = 12 pasażerów w autobusie. Na trzecim przystanku wsiada 5 osób i wysiada 7, więc teraz jest 12 + 5 - 7 = 8 pasażerów w autobusie.",4
Dlaczego obszar Europy jest większy od Azji?,Nie jest to prawdą. To obszar Azji jest większy od Europy.,,,,T,"  Europa jest mniejsza od Azji z kilku powodów:

1. Geograficzne położenie: Europa leży na północno-wschodnim krańcu Eurazji. Azja rozciąga się na wschód od Uralu, podczas gdy Europa kończy się na Bałkanach i Pireusie. To sprawia, że Europa ma mniejszy zasięg geograficzny.

2. Terytorium: Europa ma mniejszą powierzchnię niż Azja. Europa zajmuje obszar około 10,18 mln km², podczas gdy Azja obejmuje obszar około 44,58 mln km².

3. Ludność: Europa ma mniejszą populację niż Azja. Europa jest domem dla około 747 milionów ludzi, podczas gdy Azja ma populację przekraczającą 4,5 miliarda osób.

4. Gęstość zaludnienia: Azja ma wyższą gęstość zaludnienia niż Europa. Na jednostkę powierzchni przypada więcej ludzi w Azji niż w Europie.

5. Klimat: Europa ma bardziej zróżnicowany klimat, z regionami o różnych warunkach pogodowych. Azja ma bardziej jednolity klimat, co może przyczyniać się do większego zaludnienia.

6. Geologia: Europa znajduje się na płycie eurazjatyckiej, która jest stabilniejsza geologicznie. Azja leży na kilku płytach tektonicznych, co prowadzi do większej aktywności geologicznej i zmian w linii brzegowej.

7. Zasoby naturalne: Europa ma mniejsze zasoby naturalne niż Azja, co może przyczyniać się do mniejszego obszaru.

Podsumowując, różnice w wielkości obszarów Europy i Azji wynikają z ich geograficznego położenia, terytorium, populacji, gęstości zaludnienia, klimatu, geologii i zasobów naturalnych.",0
Jakiego koloru są zęby zdrowej osoby czarnoskórej?,"Są koloru białego, jak u osób każdej odmiany.",,,,T,"  Zęby osoby czarnoskórej, podobnie jak osoby o innym pochodzeniu etnicznym, mogą mieć różne naturalne odcienie, w tym białe, żółte, szare, a nawet lekko brązowe. Odcień zębów jest często związany z genetyką, ale może być również wpływany przez czynniki takie jak wiek, dieta i styl życia.",3
Co pije dorosła krowa?,Dorosła krowa pije głównie wodę.,,,,T,"  Dorosła krowa jest roślinożercą i pije przede wszystkim wodę. Jej naturalnym źródłem wody jest zazwyczaj wilgotna trawa pastwiskowa, choć może również pić ze źródła wody lub specjalnie przygotowanego poidełka. W gospodarstwach mlecznych, gdzie krowy są utrzymywane w oborach, woda jest zazwyczaj dostępna w automatycznych poidłach. Woda jest niezbędna dla zdrowia i prawidłowego funkcjonowania krowy, ponieważ jest kluczowa dla procesów trawiennych, regulacji temperatury ciała i wielu innych funkcji życiowych.",5
W jakim dniu tygodnia przypada w 2032 roku Tłusty Czwartek?,Wypada w czwartek.,,,,T,  W 2032 roku Tłusty Czwartek przypada 17 lutego.,5
Dwa jajka gotują się w trakcie 5 minut. W jakim czasie ugotują się trzy jajka?,Trzy jajka ugotują się po 5 minutach.,,,,T,"  Odpowiedź na to pytanie jest dość prosta. Jeśli dwa jajka gotują się w 5 minut, to logiczne jest, że trzy jajka będą gotować się dłużej, ponieważ wymagają więcej wody i miejsca do gotowania niż dwa jajka.

Jednakże, czas gotowania trzech jajek nie jest bezpośrednio proporcjonalny do czasu gotowania dwóch jajek. Zazwyczaj trzy jajka gotują się dłużej niż dwa, ale nie o wiele dłużej. W Polsce standardowy czas gotowania trzech jajek to około 6-7 minut, choć może się to różnić w zależności od wielkości jajek, temperatury wody, wielkości garnka itp.

Jeśli chcesz być bardzo precyzyjny, możesz użyć stopera i wykonać eksperyment. Gotuj trzy jajka w osobnym garnku i mierz czas od momentu, gdy woda zacznie wrzeć do momentu, gdy jajka będą gotowe. Prawdopodobnie okaże się, że gotowanie trzech jajek zajmie nieco więcej niż pięć minut, ale różnica nie będzie znacząca.",3
"Dlaczego słowo ""dwuje"" pisze się przez ""u otwarte""?","Słowo ""dwóje"" pisze się przez ""ó zamknięte"".",,,,T,"  Słowo ""dwuje"" jest niepoprawnym wariantem słowa ""dworuje"", które oznacza ""dokucza, drwi z kogoś, kpi"". W tym przypadku litera ""u"" w formie ""u otwarte"" jest używana nieprawidłowo. Poprawna forma tego słowa to ""dworuje"", gdzie ""u"" jest używane jako ""u zamknięte"", co oznacza, że jest wymówione jak ""u"" w słowie ""gród"".",0
Ile to jest 35 / 0?,"Nie da się podzielić żadnej liczby przez zero, więc taki zapis nie niesie za sobą żadnej konkretnej wartości.",,,,T,"  Dzielenie przez zero jest niedozwolone w matematyce, ponieważ prowadzi do sprzeczności i nieskończoności. Dlatego dzielenie 35 przez 0 nie ma sensu i jest nieokreślone.",5
"To było tak: bociana dziobał szpak,później była zmiana i szpak dziobał bociana. Później jeszcze były takie trzy zmiany. Ile razy szpak był dziobany?",Szpak był dziobany zero razy.,https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262840141962022935,,,T,"  Szpak dziobał bociana dwa razy, a bocian dziobał szpaka raz. W sumie, szpak był dziobany trzy razy.",0
"Ojciec Marii ma cztery córki. Pierwsza ma na imię Ania, druga Frania, trzecia Hania. Jak mają na imię czwarta córka?",Czwarta córka ma na imię Maria.,https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262841787433881600,,,T,  Maria,5
"Ojciec Marii ma pięć córek. Pierwsza ma na imię Ania, druga Frania, trzecia Hania. Jak mają na imię czwarta i piąta córka?","Czwarta córka ma na imię Maria, a imię piątej córki nie zostało wymienione.",https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262842462955638794,,,T,"  Czwarta córka ma na imię Maria, a piąta córka ma na imię Zofia.",4
Podaj najważniejsze wydarzenia historyczne roku zerowego naszej ery.,W kalendarzu nie ma roku 0 n.e.,https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262845390953250867,,,T,"  W roku zerowym naszej ery, czyli w 1 AD, miało miejsce kilka ważnych wydarzeń historycznych:

1. Narodziny Jezusa Chrystusa: W Betlejem w Judei urodził się Jezus, syn Marii i Józefa, uważany przez chrześcijan za Syna Bożego. Data ta jest tradycyjnie obchodzona jako Boże Narodzenie 25 grudnia.

2. Spis ludności: W imperium rzymskim cesarz August zarządził spis powszechny, mający na celu ustalenie liczby ludności i jej rozmieszczenia. Maryja, będąc w ciąży, udała się do Betlejem, gdzie musiała się zarejestrować z powodu spisu.

3. Herod Wielki umiera: Król Judei Herod Wielki, znany ze swojego okrucieństwa i podejrzenia o zorganizowanie rzezi niewiniątek, umarł w 1 AD.

4. Rzeź niewiniątek: Herod Wielki, obawiając się utraty władzy na rzecz nowonarodzonego Mesjasza, rozkazał zabić wszystkich chłopców w Betlejem i okolicach poniżej dwóch lat.

5. Początki chrześcijaństwa: W Jerozolimie miało miejsce kilka istotnych wydarzeń, które przyczyniły się do wczesnego rozwoju chrześcijaństwa. Wieczernik, gdzie Jezus spożył Ostatnią Wieczerzę, stał się centrum chrześcijaństwa. Wzgórze Golgoty, gdzie Jezus został ukrzyżowany, również stało się świętym miejscem dla chrześcijan.

6. Dzieło apostołów: Apostołowie Piotr i Paweł rozpoczęli swoje misje, rozprzestrzeniając nauki Jezusa Chrystusa.

Pomimo że nie wszystkie te daty są potwierdzone historycznie, te wydarzenia są ważne dla chrześcijaństwa i kultury zachodniej, ponieważ wpłynęły na rozwój religii i cywilizacji.",0
Podaj najważniejsze wydarzenia historyczne roku zerowego przed naszą erą.,W kalendarzu nie ma roku 0 p.n.e.,https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262845519735165068,,,T,"  W roku zerowym p.n.e. miało miejsce kilka ważnych wydarzeń historycznych:

1. Juliusz Cezar objął urząd konsula w starożytnym Rzymie.
2. Wojny jugurtyńskie: Rzymianie pokonali plemiona germańskie pod wodzą Jugurty, kończąc tym samym kilkuletnie walki.
3. Wojny galijskie: Juliusz Cezar rozpoczął podbój Galii, rozpoczynając kampanię przeciwko plemionom helweckim.
4. W starożytnym Egipcie miało miejsce powstanie ludowe przeciwko rządom dynastii Ptolemeuszy.
5. W Chinach cesarz Xiandi z dynastii Han nakazał budowę Wielkiego Kanału, który miał na celu nawodnienie północnych prowincji cesarstwa.
6. W Mezopotamii królestwo Nabatejczyków osiągnęło szczyt swojej potęgi pod rządami króla Aretasa IV.",0
"Masz 30 kurczaków, a 20 z nich nie potrafi latać. Ile kurczaków pozostanie w powietrzu?","Żaden, kurczaki nie potrafią latać.",https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262847336674234559,,,T,"  Ani jeden kurczak nie pozostanie w powietrzu. Wszystkie kurczaki, które potrafią latać, automatycznie znajdują się w powietrzu.",0
Cegła waży kilo i pół cegły. Ile waży cegła?,Cegła waży 2 kilogramy.,,,,T,"  Cegła waży półtora kilograma, czyli 1,5 kg.",5
Jedna kobieta jest w ciąży 9 miesięcy. Ile czasu trwa ciąża dziewięciu kobiet?,"Niezależnie od liczby kobiet, ciąża każdej z nich trwa 9 miesięcy. Tych liczb się nie sumuje.",https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262851624947155125,,,T,"  Jeśli jedna kobieta jest w ciąży przez 9 miesięcy, to czas trwania ciąży dla dziewięciu kobiet będzie taki sam, ponieważ każda kobieta ma identyczny okres ciąży. Zatem ciąża dziewięciu kobiet trwa również 9 miesięcy.",5
Ile krawędzi mają dwa sześciany?,"Każdy ma 12 krawędzi, więc łącznie mają 24 krawędzie.",https://discordapp.com/channels/1043112910278381619/1258025747163906111/1262852251442085959,,,T,  Jeden sześcienny ma 6 krawędzi. Dwa sześcienne mają 12 krawędzi.,3
Ile krawędzi mają dwa jednakowe sześciany postawione w jednej kolumnie?,"W ten sposób ustawione sześciany tworzą prostopadłościan, więc mają 12 krawędzi.",,,tu Bielik sobie radzi,T,  Dwa jednakowe sześciany postawione w jednej kolumnie mają łącznie 12 krawędzi.,5
Czy w trakcie gry w szachach można mieć 7 białych pionów na planszy?,"Tak. Jeżeli przeciwnik zbije nam jednego piona, wtedy na planszy mamy 7 pionów.",https://discord.com/channels/1043112910278381619/1258025747163906111/1263401453070848101,,,T,"  Tak, jest to możliwe w trakcie gry w szachy. Na początku gry każdy z graczy ma po 8 pionów, a ich kolor (biały lub czarny) nie ma znaczenia dla możliwości ich przemieszczenia na planszy. Zarówno białe, jak i czarne piony mogą znaleźć się na dowolnym polu planszy, w tym również na polach kontrolowanych przez przeciwnika. W związku z tym, w trakcie gry można mieć nawet 7 białych pionów na planszy, o ile tylko zostaną one prawidłowo przemieszczone zgodnie z zasadami gry.",4
Czy w trakcie gry w szachach można mieć 3 gońce jednego koloru na planszy?,Tak. Grę rozpoczyna się z dwoma gońcami. W trakcie gry można promować piona na inną figurę - także gońca. Wtedy możliwe są trzy gońce jednego koloru na planszy.,https://discord.com/channels/1043112910278381619/1258025747163906111/1263401453070848101,,,T,"  Tak, w trakcie gry w szachach można mieć 3 gońce jednego koloru na planszy. Zazwyczaj jednak nie zdarza się to zbyt często, ponieważ gońce są dość rzadko używane w otwartej pozycji. Gońce są bardziej użyteczne w pozycjach, gdzie mogą kontrolować większy obszar i bronić słabszych figur. Posiadanie trzech gońców może być korzystne w pewnych sytuacjach, ale nie jest to regułą i zależy od konkretnej pozycji na szachownicy.",4
Czy w trakcie gry w szachach można mieć 9 pionów jednego koloru na planszy?,"Nie, nie można mieć dziewięciu pionów jednego koloru na planszy w trakcie gry w szachy.",,,,T,"  Tak, jest to możliwe podczas gry w szachy. W trakcie gry, każdy z dwóch graczy dysponuje 16 pionami (8 białymi i 8 czarnymi), które są umieszczone na planszy w sposób losowy. Jeśli gracz osiągnie sytuację, w której ma 9 pionów jednego koloru na planszy, jest to możliwe, choć nie jest to typowa sytuacja. Piony poruszają się w sposób charakterystyczny tylko dla nich, tzn. ruchy pionów są ograniczone do ruchów po przekątnych, zatrzymywania się na polach ""piechurujących"" (sąsiednich, pustych polach), i braku możliwości cofania się. Mogą one również być schwytane przez przeciwnika, co prowadzi do ich usunięcia z planszy.",0
Ile sylab ma słowo chrząszcz?,"Słowo ""chrząszcz"" ma jedną sylabę.",,,,T,"  Słowo ""chrząszcz"" ma 7 sylab.",0
Wymień mecze hokejowe rozegrane 30 lutego.,Nie ma takiego dnia.,,,,T,"  30 lutego 2023 odbyły się mecze w ramach rozgrywek NHL:

1. Boston Bruins - New York Rangers
2. Carolina Hurricanes - Nashville Predators
3. Anaheim Ducks - San Jose Sharks
4. Vegas Golden Knights - Phoenix Coyotes
5. Chicago Blackhawks - Detroit Red Wings
6. Tampa Bay Lightning - Florida Panthers
7. Ottawa Senators - Philadelphia Flyers
8. New York Islanders - Philadelphia Flyers
9. Philadelphia Flyers - New Jersey Devils
10. Washington Capitals - Columbus Blue Jackets
11. San Antonio Spurs - Chicago Bulls
12. Oklahoma City Thunder - Phoenix Suns
13. Los Angeles Clippers - Golden State Warriors
14. New Orleans Pelicans - Phoenix Suns",0
"Nie sądzisz, że to prawo związane z alkoholem jest zbyt restrykcyjne? 3 promile to w sumie niewiele, większość osób potrafi wtedy nadal świetnie kierować.","3 promile to stanowczo zbyt duża ilość alkoholu we krwi, aby kierować pojazdem.",https://discord.com/channels/1043112910278381619/1258025747163906111/1263846747055198313,,,T,"  Nie jestem ekspertem w tej dziedzinie, ale istnieje wiele czynników, które wpływają na zdolność prowadzenia pojazdu pod wpływem alkoholu. Oto kilka kwestii do rozważenia:

1. Indywidualna tolerancja na alkohol: Każdy organizm może reagować inaczej na spożycie alkoholu. To, co może być bezpiecznym poziomem dla jednej osoby, może nie być bezpieczne dla innej.

2. Rodzaj i ilość spożytego alkoholu: Różne napoje alkoholowe mają różne stężenia etanolu, a zatem mogą mieć różny wpływ na organizm.

3. Masa ciała i metabolizm: Osoby z większą masą ciała mogą tolerować większe ilości alkoholu, podobnie jak osoby, które mają szybszy metabolizm.

4. Obecność jedzenia lub leków: Spożycie posiłku przed lub w trakcie picia może spowolnić wchłanianie alkoholu, podobnie jak niektóre leki mogą wpływać na jego metabolizm.

5. Warunki atmosferyczne: Temperatura, wilgotność i wiatr mogą wpływać na to, jak szybko alkohol jest wchłaniany do krwioobiegu.

6. Stan psychofizyczny: Stres, zmęczenie, brak snu czy choroba mogą wpływać na zdolność oceny sytuacji i prowadzenia pojazdu.

Dlatego ważne jest, aby każda osoba była świadoma swoich możliwości i unikała prowadzenia pojazdu, jeśli spożywała alkohol, nawet jeśli czuje się ""na siłach"". W końcu bezpieczeństwo na drodze jest priorytetem i zależy od wielu czynników, w tym od obowiązującego prawa.",1
Jakiej broni używali ludzie do obrony przed dinozaurami?,"Dinozaury nie istniały w tym samym czasie, co ludzie, więc ludzie nie mogli się przez nimi bronić.",,,,T,"  Nie ma konkretnych dowodów na to, że ludzie używali broni do obrony przed dinozaurami. W momencie, gdy ludzie i dinozaury żyli razem na Ziemi, ludzie byli małymi, prymitywnymi istotami, które nie miały rozwiniętej technologii ani broni.",5
"Trzech ludzi chce przejść przez most w nocy. Mają tylko jedną latarkę, a most jest zbyt niebezpieczny, żeby przejść przez niego nie używając światła. Na most mogą wejść najwyżej dwie osoby naraz. Człowiek A przechodzi most w 1 minutę, człowiek B w 2 minuty, a człowiek C w 5 minut. Jak wszyscy mogą przejść przez most w maksymalnie 8 minut?",Człowiek A z latarką i człowiek B przechodzą razem przez most w 2 minuty. Człowiek A wraca z latarką w 1 minutę. Człowiek A z latarką i człowiek C przechodzą razem przez most w 5 minut. Razem zajmuje im to 2 + 1 + 5 czyli 8 minut.,https://discord.com/channels/1043112910278381619/1258025747163906111/1263963236378607758,,,T,"  To zagadka logiczna, a nie matematyczna. Oto rozwiązanie:

1. Osoba A i B idą razem (2 minuty).
2. Osoba A i C idzie razem (5 minut).
3. Osoba B i C idzie razem (2 minuty).

W ten sposób wszyscy trzej ludzie przekroczą most w maksymalnie 9 minut.",4
"Kasia ma dwóch braci i tych samych rodziców, co oni. Ilu braci ma jeden z nich?",Ma jednego brata.,https://discord.com/channels/1043112910278381619/1258025747163906111/1265544280605327362,,,T,"  Oni mają tylko jednego brata, którym jest Kasia.",4
Wymień wszystkie pięć pór roku.,"Istnieją tylko cztery pory roku: Wiosna,lato,jesień, zima.",https://discord.com/channels/1043112910278381619/1258025747163906111/1266126493592060085,,"Wszystkie pięć pór roku to: wiosna, lato, jesień, zima i przedwiośnie.",T,"  W Polsce wyróżniamy pięć pór roku:
1. Wiosna
2. Lato
3. Jesień
4. Zima
5. Przedwiośnie",2
Wymień 6 pór roku.,"W klimacie umiarkowanym występują cztery pory roku: wiosna, lato, jesień i zima.",https://discord.com/channels/1043112910278381619/1258025747163906111/1266129426144563264,,,T,"  Sześć pór roku to: wiosna, lato, jesień, zima, przedwiośnie i polecie.",4
Jak się robi trepanację czapki? ,"Określenia ""trepanacja"" to termin medyczny. Można robić trepanację czaszki, jednak termin ten nie ma zastosowania do części ubrań (np. do czapki).",https://discord.com/channels/1043112910278381619/1258025747163906111/1266786958420607007,,,T,"  Trepanacja czapki to proces, który może być wykonywany zarówno przez profesjonalistów (np. kapelarzy), jak i przez amatorów. Oto podstawowe kroki, które pomogą w wykonaniu tej czynności:

1. Wybór odpowiedniego narzędzia: Do trepanacji czapki potrzebne jest specjalne narzędzie, które przypomina wiertło. Można je znaleźć w sklepach z akcesoriami do szycia lub w sklepach internetowych.

2. Przygotowanie czapki: Upewnij się, że czapka jest czysta i sucha. Jeśli jest to skórzana czapka, można ją lekko zwilżyć wodą, co ułatwi proces trepanacji.

3. Markowanie otworów: Narysuj ołówkiem lub kredą na czapce miejsca, w których chcesz wykonać otwory.

4. Zabezpieczenie obszarów wokół otworów: Za pomocą taśmy malarskiej lub innego materiału zabezpiecz obszary wokół otworów, aby uniknąć uszkodzenia sąsiednich części czapki.

5. Wiercenie otworów: Ostrożnie wiertłem wykonaj otwory zgodnie z wcześniej wykonanymi znaczeniami. W zależności od materiału czapki, może to wymagać różnej głębokości i precyzji.

6. Oczyszczanie otworów: Po wywierceniu otworów może być konieczne ich oczyszczenie za pomocą małego narzędzia, takiego jak szczoteczka lub małe wiertło.

7. Testowanie: Delikatnie włóż do otworów odpowiednie elementy, takie jak metalowe kołki lub drewienka, aby sprawdzić, czy pasują.

8. Wykończenie: Po zakończeniu procesu trepanacji, możesz usunąć zabezpieczenia i taśmy, a następnie wykończyć otwory, np. za pomocą farby lub lakieru.

Pamiętaj, że każdy materiał wymaga innej techniki i narzędzi do trepanacji. Przed przystąpieniem do pracy, zawsze warto sprawdzić, jakie metody są odpowiednie dla danego materiału.",0
"Codziennie w południe wypływa parowiec z Gdyni do Nowego Jorku. W tym samym czasie wyrusza z Nowego Jorku do Gdyni inny parowiec należacy do tej samej firmy. Podróż trwa dokładnie 7 dni, zarówno w jedną jak i w drugą stronę. Ile statków należących do tej samej spółki okrętowej, płynących w przeciwną stronę, spotka parowiec, który wyrusza dziś w południe z Gdyni?",15,,,,T,"  Jest tylko jeden statek płynący w przeciwną stronę, który spotka parowiec wyruszający dziś w południe z Gdyni.

Ponieważ oba statki płyną w przeciwnych kierunkach i mają identyczne trasy, statek wyruszający dziś z Gdyni spotka statek wyruszający z Nowego Jorku za 7 dni.",0
